Year,Month,ISHMT,Area,All Hospital Discharges,"Hospital Discharges Per 1,000 Population"
2023,9,Asthma (J45-J46),Co. Cork,65,0.109559117
2023,10,Asthma (J45-J46),Co. Cork,69,0.116301217
2023,11,Asthma (J45-J46),Co. Cork,78,0.131470941
2023,12,Asthma (J45-J46),Co. Cork,66,0.111244642
2017,1,Asthma (J45-J46),Co. Dublin,120,0.079922635
2017,2,Asthma (J45-J46),Co. Dublin,139,0.092577052
2017,3,Asthma (J45-J46),Co. Dublin,132,0.087914898
2017,4,Asthma (J45-J46),Co. Dublin,124,0.082586723
2017,5,Asthma (J45-J46),Co. Dublin,166,0.110559645
2017,6,Asthma (J45-J46),Co. Dublin,144,0.095907162
2017,7,Asthma (J45-J46),Co. Dublin,133,0.08858092
2017,8,Asthma (J45-J46),Co. Dublin,162,0.107895557
2017,9,Asthma (J45-J46),Co. Dublin,207,0.137866545
2017,10,Asthma (J45-J46),Co. Dublin,157,0.104565447
2017,11,Asthma (J45-J46),Co. Dublin,185,0.123214062
2017,12,Asthma (J45-J46),Co. Dublin,176,0.117219865
2018,1,Asthma (J45-J46),Co. Dublin,184,0.12254804
2018,2,Asthma (J45-J46),Co. Dublin,141,0.093909096
2018,3,Asthma (J45-J46),Co. Dublin,201,0.133870413
2018,4,Asthma (J45-J46),Co. Dublin,168,0.111891689
2018,5,Asthma (J45-J46),Co. Dublin,170,0.113223733
2018,6,Asthma (J45-J46),Co. Dublin,159,0.105897491
2018,7,Asthma (J45-J46),Co. Dublin,147,0.097905228
2018,8,Asthma (J45-J46),Co. Dublin,159,0.105897491
2018,9,Asthma (J45-J46),Co. Dublin,174,0.115887821
2018,10,Asthma (J45-J46),Co. Dublin,141,0.093909096
2018,11,Asthma (J45-J46),Co. Dublin,176,0.117219865
2018,12,Asthma (J45-J46),Co. Dublin,170,0.113223733
2019,1,Asthma (J45-J46),Co. Dublin,189,0.12587815
2019,2,Asthma (J45-J46),Co. Dublin,148,0.09857125
2019,3,Asthma (J45-J46),Co. Dublin,166,0.110559645
2019,4,Asthma (J45-J46),Co. Dublin,173,0.115221799
2019,5,Asthma (J45-J46),Co. Dublin,180,0.119883952
2019,6,Asthma (J45-J46),Co. Dublin,136,0.090578986
2019,7,Asthma (J45-J46),Co. Dublin,174,0.115887821
2019,8,Asthma (J45-J46),Co. Dublin,161,0.107229535
2019,9,Asthma (J45-J46),Co. Dublin,189,0.12587815
2019,10,Asthma (J45-J46),Co. Dublin,193,0.128542238
2019,11,Asthma (J45-J46),Co. Dublin,199,0.13253837
2019,12,Asthma (J45-J46),Co. Dublin,167,0.111225667
2020,1,Asthma (J45-J46),Co. Dublin,153,0.10190136
2020,2,Asthma (J45-J46),Co. Dublin,162,0.107895557
2020,3,Asthma (J45-J46),Co. Dublin,164,0.109227601
2020,4,Asthma (J45-J46),Co. Dublin,91,0.060607998
2020,5,Asthma (J45-J46),Co. Dublin,79,0.052615735
2020,6,Asthma (J45-J46),Co. Dublin,80,0.053281757
2020,7,Asthma (J45-J46),Co. Dublin,100,0.066602196
2020,8,Asthma (J45-J46),Co. Dublin,114,0.075926503
2020,9,Asthma (J45-J46),Co. Dublin,143,0.09524114
2020,10,Asthma (J45-J46),Co. Dublin,158,0.105231469
2020,11,Asthma (J45-J46),Co. Dublin,131,0.087248876
2020,12,Asthma (J45-J46),Co. Dublin,140,0.093243074
2021,1,Asthma (J45-J46),Co. Dublin,105,0.069932306
2021,2,Asthma (J45-J46),Co. Dublin,102,0.06793424
2021,3,Asthma (J45-J46),Co. Dublin,160,0.106563513
2021,4,Asthma (J45-J46),Co. Dublin,148,0.09857125
2021,5,Asthma (J45-J46),Co. Dublin,129,0.085916833
2021,6,Asthma (J45-J46),Co. Dublin,126,0.083918767
2021,7,Asthma (J45-J46),Co. Dublin,129,0.085916833
2021,8,Asthma (J45-J46),Co. Dublin,144,0.095907162
2021,9,Asthma (J45-J46),Co. Dublin,124,0.082586723
2021,10,Asthma (J45-J46),Co. Dublin,172,0.114555777
2021,11,Asthma (J45-J46),Co. Dublin,158,0.105231469
2021,12,Asthma (J45-J46),Co. Dublin,159,0.105897491
2022,1,Asthma (J45-J46),Co. Dublin,143,0.09524114
2022,2,Asthma (J45-J46),Co. Dublin,151,0.100569316
2022,3,Asthma (J45-J46),Co. Dublin,184,0.12254804
2022,4,Asthma (J45-J46),Co. Dublin,115,0.076592525
2022,5,Asthma (J45-J46),Co. Dublin,150,0.099903294
2022,6,Asthma (J45-J46),Co. Dublin,151,0.100569316
2022,7,Asthma (J45-J46),Co. Dublin,120,0.079922635
2022,8,Asthma (J45-J46),Co. Dublin,135,0.089912964
